[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:51:668 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:670 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:683 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:686 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:735 main.c/(5351:5351): Escribiendo pagina 5, pid 0
[TRACE] 01:45:51:736 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:739 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:759 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:762 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:771 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:774 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:839 main.c/(5351:5351): Escribiendo pagina 5, pid 0
[TRACE] 01:45:51:841 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:844 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:862 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:865 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:874 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:877 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:933 main.c/(5351:5351): Escribiendo pagina 5, pid 0
